Province;Comuni;Posti Letto;Popolazione residente;Superficie comunale (km2);Rapporto Comunale Ricettività;Rapporto Regionale Ricettività;Rapporto Area Rurale;Marginalità SI/NO;Area Rurale SI/NO;Isola Minore;Punteggio Lettera E;;;;;;;;;;;;;;;;
MESSINA;Pagliara; 	20 ;1.116; 	14,48 ;1,381; 	8,48   ;77,0750169205906;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Patti; 	1.163 ;12.680; 	50,08 ;23,224; 	8,48   ;253,208539597782;NO;NO;;0;;;;;;;;;;;;;;;;
MESSINA;Pettineo; 	-   ;1.239; 	30,62 ;0,000; 	8,48   ;40,4679783648193;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Piraino; 	1.927 ;3.794; 	16,97 ;113,561; 	8,48   ;223,585500533329;NO;NO;;0;;;;;;;;;;;;;;;;
MESSINA;Raccuja; 	-   ;834; 	25,20 ;0,000; 	8,48   ;33,0923490806358;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Reitano; 	29 ;716; 	14,12 ;2,054; 	8,48   ;50,7171949707809;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Roccafiorita; 	-   ;178; 	1,17 ;0,000; 	8,48   ;152,371169320322;SI;NO;;3;;;;;;;;;;;;;;;;
MESSINA;Roccalumera; 	290 ;4.062; 	8,91 ;32,562; 	8,48   ;456,086771013451;NO;NO;;0;;;;;;;;;;;;;;;;
MESSINA;Roccavaldina; 	4 ;1.004; 	7,13 ;0,561; 	8,48   ;140,762134425034;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Roccella Valdemone; 	-   ;561; 	41,15 ;0,000; 	8,48   ;13,6324866287419;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Rodì Milici; 	51 ;1.948; 	36,55 ;1,396; 	8,48   ;53,3037080007552;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Rometta; 	60 ;6.584; 	32,12 ;1,868; 	8,48   ;204,958348379385;SI;NO;;3;;;;;;;;;;;;;;;;
MESSINA;San Filippo del Mela; 	135 ;6.694; 	10,05 ;13,432; 	8,48   ;666,04314256149;NO;NO;;0;;;;;;;;;;;;;;;;
MESSINA;San Fratello; 	6 ;3.222; 	67,63 ;0,089; 	8,48   ;47,6414382923605;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;San Marco d'Alunzio; 	130 ;1.818; 	26,14 ;4,973; 	8,48   ;69,5459240273899;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;San Pier Niceto; 	38 ;2.588; 	36,68 ;1,036; 	8,48   ;70,5555843327345;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;San Piero Patti; 	97 ;2.601; 	41,82 ;2,320; 	8,48   ;62,1967579252443;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;San Salvatore di Fitalia; 	49 ;1.119; 	15,00 ;3,267; 	8,48   ;74,6169131669845;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Santa Domenica Vittoria; 	67 ;861; 	20,16 ;3,323; 	8,48   ;42,7004964366659;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Sant'Agata di Militello; 	599 ;11.939; 	33,98 ;17,630; 	8,48   ;351,38579446624;NO;NO;;0;;;;;;;;;;;;;;;;
MESSINA;Sant'Alessio Siculo; 	1.306 ;1.547; 	6,17 ;211,752; 	8,48   ;250,826901874311;NO;NO;;0;;;;;;;;;;;;;;;;
MESSINA;Santa Lucia del Mela; 	-   ;4.373; 	85,68 ;0,000; 	8,48   ;51,0416083067212;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Santa Marina Salina; 	469 ;856; 	8,78 ;53,408; 	8,48   ;97,477651881797;NO;SI;SI;6;;;;;;;;;;;;;;;;
MESSINA;Sant'Angelo di Brolo; 	51 ;2.717; 	30,39 ;1,678; 	8,48   ;89,4150014480162;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Santa Teresa di Riva; 	222 ;9.265; 	8,12 ;27,348; 	8,48   ;1141,34719621563;NO;NO;;0;;;;;;;;;;;;;;;;
MESSINA;San Teodoro; 	-   ;1.248; 	13,97 ;0,000; 	8,48   ;89,3074379928726;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Santo Stefano di Camastra; 	215 ;4.349; 	21,92 ;9,809; 	8,48   ;198,425010037595;NO;NO;;0;;;;;;;;;;;;;;;;
MESSINA;Saponara; 	-   ;3.675; 	26,26 ;0,000; 	8,48   ;139,932299420852;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Savoca; 	140 ;1.727; 	9,08 ;15,426; 	8,48   ;190,288352413588;NO;NO;;0;;;;;;;;;;;;;;;;
MESSINA;Scaletta Zanclea; 	-   ;1.845; 	4,76 ;0,000; 	8,48   ;387,450387450387;SI;NO;;3;;;;;;;;;;;;;;;;
MESSINA;Sinagra; 	146 ;2.465; 	24,03 ;6,076; 	8,48   ;102,591635348125;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Spadafora; 	34 ;4.654; 	10,52 ;3,230; 	8,48   ;442,193675889328;SI;NO;;3;;;;;;;;;;;;;;;;
MESSINA;Taormina; 	8.291 ;10.498; 	13,13 ;631,296; 	8,48   ;799,342130309975;NO;NO;;0;;;;;;;;;;;;;;;;
MESSINA;Torregrotta; 	89 ;7.289; 	4,13 ;21,570; 	8,48   ;1766,55922057148;NO;NO;;0;;;;;;;;;;;;;;;;
MESSINA;Tortorici; 	54 ;5.630; 	70,50 ;0,766; 	8,48   ;79,856117148782;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Tripi; 	56 ;746; 	54,67 ;1,024; 	8,48   ;13,646083519153;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Tusa; 	423 ;2.540; 	41,07 ;10,298; 	8,48   ;61,8391548973446;NO;SI;;3;;;;;;;;;;;;;;;;
MESSINA;Ucria; 	10 ;875; 	26,26 ;0,381; 	8,48   ;33,3146771141494;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Valdina; 	-   ;1.255; 	2,60 ;0,000; 	8,48   ;482,39544895449;SI;NO;;3;;;;;;;;;;;;;;;;
MESSINA;Venetico; 	102 ;3.965; 	4,52 ;22,581; 	8,48   ;877,794996679212;NO;NO;;0;;;;;;;;;;;;;;;;
MESSINA;Villafranca Tirrena; 	207 ;7.924; 	14,25 ;14,530; 	8,48   ;556,226309139408;NO;NO;;0;;;;;;;;;;;;;;;;
MESSINA;Terme Vigliatore; 	837 ;7.222; 	13,23 ;63,274; 	8,48   ;545,954854023979;NO;NO;;0;;;;;;;;;;;;;;;;
MESSINA;Acquedolci; 	60 ;5.485; 	12,93 ;4,640; 	8,48   ;424,187586036224;SI;NO;;3;;;;;;;;;;;;;;;;
MESSINA;Torrenova; 	193 ;4.507; 	12,93 ;14,930; 	8,48   ;348,65011216833;NO;NO;;0;;;;;;;;;;;;;;;;
MESSINA;TOTALE; 	50.975 ;;;; 	8,48   ;;SI;SI;;6;;;;;;;;;;;;;;;;
AGRIGENTO;Agrigento; 	5.127 ;55.367; 	245,32 ;20,899; 	8,48   ;225,692420448996;NO;NO;;0;;;;;;;;;;;;;;;;
AGRIGENTO;Alessandria della Rocca; 	-   ;2.399; 	62,24 ;0,000; 	8,48   ;38,5440967603036;SI;SI;;6;;;;;;;;;;;;;;;;
AGRIGENTO;Aragona; 	90 ;8.682; 	74,70 ;1,205; 	8,48   ;116,220854428092;SI;SI;;6;;;;;;;;;;;;;;;;
AGRIGENTO;Bivona; 	12 ;3.120; 	88,57 ;0,135; 	8,48   ;35,2245849539089;SI;SI;;6;;;;;;;;;;;;;;;;
AGRIGENTO;Burgio; 	72 ;2.474; 	42,23 ;1,705; 	8,48   ;58,5820029646187;SI;SI;;6;;;;;;;;;;;;;;;;
AGRIGENTO;Calamonaci; 	-   ;1.143; 	32,89 ;0,000; 	8,48   ;34,7515703574882;SI;SI;;6;;;;;;;;;;;;;;;;
AGRIGENTO;Caltabellotta; 	46 ;3.144; 	124,09 ;0,371; 	8,48   ;25,3366739490801;SI;SI;;6;;;;;;;;;;;;;;;;
AGRIGENTO;Camastra; 	-   ;1.980; 	16,32 ;0,000; 	8,48   ;121,354760416284;SI;SI;;6;;;;;;;;;;;;;;;;
AGRIGENTO;Cammarata; 	139 ;5.837; 	192,46 ;0,722; 	8,48   ;30,3290417851787;SI;SI;;6;;;;;;;;;;;;;;;;
AGRIGENTO;Campobello di Licata; 	47 ;9.018; 	81,33 ;0,578; 	8,48   ;110,883093217786;SI;SI;;6;;;;;;;;;;;;;;;;
AGRIGENTO;Canicattì; 	184 ;34.394; 	91,86 ;2,003; 	8,48   ;374,41433124902;SI;NO;;3;;;;;;;;;;;;;;;;
AGRIGENTO;Casteltermini; 	10 ;7.217; 	99,98 ;0,100; 	8,48   ;72,1821987915958;SI;SI;;6;;;;;;;;;;;;;;;;
AGRIGENTO;Castrofilippo; 	19 ;2.592; 	18,08 ;1,051; 	8,48   ;143,398522862438;SI;SI;;6;;;;;;;;;;;;;;;;
AGRIGENTO;Cattolica Eraclea; 	488 ;3.273; 	62,16 ;7,850; 	8,48   ;52,6503744884565;SI;SI;;6;;;;;;;;;;;;;;;;
AGRIGENTO;Cianciana; 	-   ;3.040; 	38,08 ;0,000; 	8,48   ;79,8277401396985;SI;SI;;6;;;;;;;;;;;;;;;;
AGRIGENTO;Comitini; 	15 ;836; 	21,89 ;0,685; 	8,48   ;38,1904313782817;SI;SI;;6;;;;;;;;;;;;;;;;
AGRIGENTO;Favara; 	189 ;31.515; 	81,88 ;2,308; 	8,48   ;384,911799442815;SI;NO;;3;;;;;;;;;;;;;;;;
AGRIGENTO;Grotte; 	9 ;5.141; 	23,98 ;0,375; 	8,48   ;214,419178859212;SI;NO;;3;;;;;;;;;;;;;;;;
AGRIGENTO;Joppolo Giancaxio; 	11 ;1.059; 	19,14 ;0,575; 	8,48   ;55,3222166499498;SI;SI;;6;;;;;;;;;;;;;;;;
AGRIGENTO;Lampedusa e Linosa; 	2.582 ;6.522; 	25,22 ;102,371; 	8,48   ;258,582750841524;NO;NO;SI;0;;;;;;;;;;;;;;;;
AGRIGENTO;Licata; 	2.131 ;34.290; 	179,68 ;11,860; 	8,48   ;190,838207712557;NO;NO;;0;;;;;;;;;;;;;;;;
AGRIGENTO;Lucca Sicula; 	-   ;1.697; 	18,63 ;0,000; 	8,48   ;91,0783961185683;SI;SI;;6;;;;;;;;;;;;;;;;
AGRIGENTO;Menfi; 	1.227 ;11.834; 	113,58 ;10,803; 	8,48   ;104,191153876969;NO;SI;;3;;;;;;;;;;;;;;;;
AGRIGENTO;Montallegro; 	133 ;2.357; 	27,41 ;4,852; 	8,48   ;85,9817311620849;SI;SI;;6;;;;;;;;;;;;;;;;
AGRIGENTO;Montevago; 	25 ;2.654; 	32,91 ;0,760; 	8,48   ;80,6451612903226;SI;SI;;6;;;;;;;;;;;;;;;;
AGRIGENTO;Naro; 	69 ;6.971; 	207,49 ;0,333; 	8,48   ;33,5967350778638;SI;SI;;6;;;;;;;;;;;;;;;;
AGRIGENTO;Palma di Montechiaro; 	351 ;21.369; 	77,06 ;4,555; 	8,48   ;277,289726174936;SI;NO;;3;;;;;;;;;;;;;;;;
AGRIGENTO;Porto Empedocle; 	729 ;15.600; 	25,23 ;28,899; 	8,48   ;618,409577420122;NO;NO;;0;;;;;;;;;;;;;;;;
AGRIGENTO;Racalmuto; 	128 ;7.484; 	68,10 ;1,880; 	8,48   ;109,893982555578;SI;SI;;6;;;;;;;;;;;;;;;;
AGRIGENTO;Raffadali; 	28 ;11.877; 	22,30 ;1,256; 	8,48   ;532,622392831998;SI;NO;;3;;;;;;;;;;;;;;;;
AGRIGENTO;Ravanusa; 	14 ;10.284; 	49,50 ;0,283; 	8,48   ;207,752119641302;SI;NO;;3;;;;;;;;;;;;;;;;
AGRIGENTO;Realmonte; 	439 ;4.395; 	20,37 ;21,552; 	8,48   ;215,762705207761;NO;NO;;0;;;;;;;;;;;;;;;;
AGRIGENTO;Ribera; 	653 ;17.802; 	118,52 ;5,509; 	8,48   ;150,198949062965;SI;NO;;3;;;;;;;;;;;;;;;;
AGRIGENTO;Sambuca di Sicilia; 	110 ;5.301; 	96,37 ;1,141; 	8,48   ;55,0050896050653;SI;SI;;6;;;;;;;;;;;;;;;;
AGRIGENTO;San Biagio Platani; 	16 ;2.836; 	42,67 ;0,375; 	8,48   ;66,4683865010113;SI;SI;;6;;;;;;;;;;;;;;;;
AGRIGENTO;San Giovanni Gemini; 	16 ;7.480; 	26,56 ;0,602; 	8,48   ;281,628626721587;SI;NO;;3;;;;;;;;;;;;;;;;
AGRIGENTO;Santa Elisabetta; 	-   ;2.176; 	16,17 ;0,000; 	8,48   ;134,590167990302;SI;SI;;6;;;;;;;;;;;;;;;;
AGRIGENTO;Santa Margherita di Belice; 	24 ;5.961; 	67,28 ;0,357; 	8,48   ;88,6048855315847;SI;SI;;6;;;;;;;;;;;;;;;;
AGRIGENTO;Sant'Angelo Muxaro; 	23 ;1.170; 	64,52 ;0,356; 	8,48   ;18,133321761071;SI;SI;;6;;;;;;;;;;;;;;;;
AGRIGENTO;Santo Stefano Quisquina; 	100 ;3.998; 	85,52 ;1,169; 	8,48   ;46,7495717351014;SI;SI;;6;;;;;;;;;;;;;;;;
AGRIGENTO;Sciacca; 	3.851 ;38.749; 	191,67 ;20,092; 	8,48   ;202,164546884081;NO;NO;;0;;;;;;;;;;;;;;;;
AGRIGENTO;Siculiana; 	324 ;4.149; 	40,99 ;7,904; 	8,48   ;101,216105778027;SI;SI;;6;;;;;;;;;;;;;;;;
AGRIGENTO;Villafranca Sicula; 	-   ;1.321; 	17,63 ;0,000; 	8,48   ;74,9316482693682;SI;SI;;6;;;;;;;;;;;;;;;;
AGRIGENTO;TOTALE; 	19.431 ;;;; 	8,48   ;;SI;SI;;6;;;;;;;;;;;;;;;;
CALTANISSETTA;Acquaviva Platani; 	13 ;855; 	14,63 ;0,888; 	8,48   ;58,4275805514744;SI;SI;;6;;;;;;;;;;;;;;;;
CALTANISSETTA;Bompensiere; 	20 ;478; 	19,95 ;1,003; 	8,48   ;23,9638636967518;SI;SI;;6;;;;;;;;;;;;;;;;
CALTANISSETTA;Butera; 	1.166 ;4.118; 	298,55 ;3,906; 	8,48   ;13,7934083719759;SI;SI;;6;;;;;;;;;;;;;;;;
CALTANISSETTA;Caltanissetta; 	1.211 ;58.343; 	421,25 ;2,875; 	8,48   ;138,498782678715;SI;SI;;6;;;;;;;;;;;;;;;;
CALTANISSETTA;Campofranco; 	13 ;2.599; 	36,11 ;0,360; 	8,48   ;71,9673474812813;SI;SI;;6;;;;;;;;;;;;;;;;
CALTANISSETTA;Delia; 	5 ;3.871; 	12,40 ;0,403; 	8,48   ;312,202596983628;SI;NO;;3;;;;;;;;;;;;;;;;
CALTANISSETTA;Gela; 	608 ;70.856; 	279,07 ;2,179; 	8,48   ;253,899363316602;SI;NO;;3;;;;;;;;;;;;;;;;
CALTANISSETTA;Marianopoli; 	-   ;1.553; 	13,07 ;0,000; 	8,48   ;118,81536566519;SI;SI;;6;;;;;;;;;;;;;;;;
CALTANISSETTA;Mazzarino; 	92 ;10.819; 	295,59 ;0,311; 	8,48   ;36,6009153781018;SI;SI;;6;;;;;;;;;;;;;;;;
CALTANISSETTA;Milena; 	8 ;2.670; 	24,63 ;0,325; 	8,48   ;108,417590449507;SI;SI;;6;;;;;;;;;;;;;;;;
CALTANISSETTA;Montedoro; 	8 ;1.360; 	14,53 ;0,550; 	8,48   ;93,5775523965486;SI;SI;;6;;;;;;;;;;;;;;;;
CALTANISSETTA;Mussomeli; 	114 ;9.915; 	164,43 ;0,693; 	8,48   ;60,3002789686128;SI;SI;;6;;;;;;;;;;;;;;;;
CALTANISSETTA;Niscemi; 	22 ;24.885; 	96,82 ;0,227; 	8,48   ;257,027058850262;SI;NO;;3;;;;;;;;;;;;;;;;
CALTANISSETTA;Resuttano; 	-   ;1.720; 	38,27 ;0,000; 	8,48   ;44,9392405790891;SI;SI;;6;;;;;;;;;;;;;;;;
CALTANISSETTA;Riesi; 	98 ;10.409; 	67,00 ;1,463; 	8,48   ;155,366788912224;SI;NO;;3;;;;;;;;;;;;;;;;
CALTANISSETTA;San Cataldo; 	189 ;20.668; 	72,78 ;2,597; 	8,48   ;283,995894233927;SI;NO;;3;;;;;;;;;;;;;;;;
CALTANISSETTA;Santa Caterina Villarmosa; 	28 ;4.572; 	75,82 ;0,369; 	8,48   ;60,3046890457034;SI;SI;;6;;;;;;;;;;;;;;;;
CALTANISSETTA;Serradifalco; 	29 ;5.456; 	41,94 ;0,691; 	8,48   ;130,094327925453;SI;SI;;6;;;;;;;;;;;;;;;;
CALTANISSETTA;Sommatino; 	8 ;6.363; 	34,76 ;0,230; 	8,48   ;183,070509334783;SI;NO;;3;;;;;;;;;;;;;;;;
CALTANISSETTA;Sutera; 	18 ;1.156; 	35,58 ;0,506; 	8,48   ;32,4864194963481;SI;SI;;6;;;;;;;;;;;;;;;;
CALTANISSETTA;Vallelunga Pratameno; 	8 ;3.061; 	39,37 ;0,203; 	8,48   ;77,7408671624203;SI;SI;;6;;;;;;;;;;;;;;;;
CALTANISSETTA;Villalba; 	21 ;1.391; 	41,82 ;0,502; 	8,48   ;33,2628699328525;SI;SI;;6;;;;;;;;;;;;;;;;
CALTANISSETTA;TOTALE; 	3.679 ;;;; 	8,48   ;;SI;SI;;6;;;;;;;;;;;;;;;;
ENNA;Agira; 	38 ;7.632; 	164,08 ;0,232; 	8,48   ;46,5130168798615;SI;SI;;6;;;;;;;;;;;;;;;;
ENNA;Aidone; 	38 ;4.208; 	210,78 ;0,180; 	8,48   ;19,9640381631946;SI;SI;;6;;;;;;;;;;;;;;;;
ENNA;Assoro; 	47 ;4.776; 	112,15 ;0,419; 	8,48   ;42,5852529836872;SI;SI;;6;;;;;;;;;;;;;;;;
ENNA;Barrafranca; 	8 ;11.664; 	53,71 ;0,149; 	8,48   ;217,154942583518;SI;NO;;3;;;;;;;;;;;;;;;;
ENNA;Calascibetta; 	50 ;4.029; 	89,12 ;0,561; 	8,48   ;45,2090624589735;SI;SI;;6;;;;;;;;;;;;;;;;
ENNA;Catenanuova; 	26 ;4.454; 	11,22 ;2,316; 	8,48   ;396,799942983394;SI;NO;;3;;;;;;;;;;;;;;;;
ENNA;Centuripe; 	24 ;5.011; 	174,20 ;0,138; 	8,48   ;28,7662653396641;SI;SI;;6;;;;;;;;;;;;;;;;
ENNA;Cerami; 	42 ;1.857; 	95,05 ;0,442; 	8,48   ;19,5375173991219;SI;SI;;6;;;;;;;;;;;;;;;;
ENNA;Enna; 	999 ;25.332; 	358,75 ;2,785; 	8,48   ;70,6120238350424;SI;SI;;6;;;;;;;;;;;;;;;;
ENNA;Gagliano Castelferrato; 	20 ;3.201; 	56,24 ;0,356; 	8,48   ;56,9192141912173;SI;SI;;6;;;;;;;;;;;;;;;;
ENNA;Leonforte; 	19 ;12.191; 	84,39 ;0,225; 	8,48   ;144,455280005782;SI;SI;;6;;;;;;;;;;;;;;;;
ENNA;Nicosia; 	176 ;12.594; 	218,51 ;0,805; 	8,48   ;57,6360962871535;SI;SI;;6;;;;;;;;;;;;;;;;
ENNA;Nissoria; 	31 ;2.833; 	61,83 ;0,501; 	8,48   ;45,822590715143;SI;SI;;6;;;;;;;;;;;;;;;;
ENNA;Piazza Armerina; 	968 ;20.619; 	304,54 ;3,179; 	8,48   ;67,7049248691724;SI;SI;;6;;;;;;;;;;;;;;;;
ENNA;Pietraperzia; 	62 ;6.315; 	118,11 ;0,525; 	8,48   ;53,4663826415018;SI;SI;;6;;;;;;;;;;;;;;;;
ENNA;Regalbuto; 	93 ;6.626; 	170,29 ;0,546; 	8,48   ;38,908974960495;SI;SI;;6;;;;;;;;;;;;;;;;
ENNA;Sperlinga; 	-   ;675; 	59,14 ;0,000; 	8,48   ;11,4136334583478;SI;SI;;6;;;;;;;;;;;;;;;;
ENNA;Troina; 	207 ;8.405; 	168,28 ;1,230; 	8,48   ;49,9464583474467;SI;SI;;6;;;;;;;;;;;;;;;;
ENNA;Valguarnera Caropepe; 	41 ;6.846; 	9,41 ;4,355; 	8,48   ;727,253412652042;SI;NO;;3;;;;;;;;;;;;;;;;
ENNA;Villarosa; 	27 ;4.288; 	54,89 ;0,492; 	8,48   ;78,1158913372974;SI;SI;;6;;;;;;;;;;;;;;;;
ENNA;TOTALE; 	2.916 ;;;; 	8,48   ;;SI;SI;;6;;;;;;;;;;;;;;;;
CATANIA;Aci Bonaccorsi; 	4 ;3.558; 	1,72 ;2,320; 	8,48   ;2063,44603607261;SI;NO;;3;;;;;;;;;;;;;;;;
CATANIA;Aci Castello; 	1.794 ;17.755; 	8,71 ;206,065; 	8,48   ;2039,39811624167;NO;NO;;0;;;;;;;;;;;;;;;;
CATANIA;Aci Catena; 	66 ;27.740; 	8,53 ;7,733; 	8,48   ;3250,33686800633;SI;NO;;3;;;;;;;;;;;;;;;;
CATANIA;Acireale; 	2.691 ;50.505; 	40,43 ;66,560; 	8,48   ;1249,21468040584;NO;NO;;0;;;;;;;;;;;;;;;;
CATANIA;Aci Sant'Antonio; 	48 ;18.079; 	14,33 ;3,349; 	8,48   ;1261,31091498936;SI;NO;;3;;;;;;;;;;;;;;;;
CATANIA;Adrano; 	21 ;33.781; 	83,22 ;0,252; 	8,48   ;405,914301506813;SI;NO;;3;;;;;;;;;;;;;;;;
CATANIA;Belpasso; 	453 ;28.177; 	166,33 ;2,724; 	8,48   ;169,405418664717;SI;NO;;3;;;;;;;;;;;;;;;;
CATANIA;Biancavilla; 	129 ;22.962; 	70,28 ;1,836; 	8,48   ;326,738886367097;SI;NO;;3;;;;;;;;;;;;;;;;
CATANIA;Bronte; 	118 ;18.222; 	250,86 ;0,470; 	8,48   ;72,6379800725901;SI;SI;;6;;;;;;;;;;;;;;;;
CATANIA;Calatabiano; 	475 ;5.118; 	26,42 ;17,980; 	8,48   ;193,734480043607;NO;NO;;0;;;;;;;;;;;;;;;;
CATANIA;Caltagirone; 	904 ;35.610; 	383,38 ;2,358; 	8,48   ;92,8845141091342;SI;SI;;6;;;;;;;;;;;;;;;;
CATANIA;Camporotondo Etneo; 	-   ;5.185; 	6,55 ;0,000; 	8,48   ;791,107856151112;SI;NO;;3;;;;;;;;;;;;;;;;
CATANIA;Castel di Iudica; 	18 ;4.256; 	103,21 ;0,174; 	8,48   ;41,2358348706342;SI;SI;;6;;;;;;;;;;;;;;;;
CATANIA;Castiglione di Sicilia; 	610 ;2.889; 	118,90 ;5,130; 	8,48   ;24,2969322284635;SI;SI;;6;;;;;;;;;;;;;;;;
CATANIA;Catania; 	9.278 ;298.680; 	182,90 ;50,727; 	8,48   ;1633,02261726483;NO;NO;;0;;;;;;;;;;;;;;;;
CATANIA;Fiumefreddo di Sicilia; 	92 ;9.034; 	12,16 ;7,566; 	8,48   ;742,921522026957;SI;NO;;3;;;;;;;;;;;;;;;;
CATANIA;Giarre; 	316 ;26.508; 	27,32 ;11,565; 	8,48   ;970,178751811674;NO;NO;;0;;;;;;;;;;;;;;;;
CATANIA;Grammichele; 	142 ;12.353; 	31,02 ;4,578; 	8,48   ;398,268035387274;SI;NO;;3;;;;;;;;;;;;;;;;
CATANIA;Gravina di Catania; 	28 ;25.317; 	5,15 ;5,436; 	8,48   ;4915,44510241724;SI;NO;;3;;;;;;;;;;;;;;;;
CATANIA;Licodia Eubea; 	11 ;2.755; 	112,45 ;0,098; 	8,48   ;24,5004313143081;SI;SI;;6;;;;;;;;;;;;;;;;
CATANIA;Linguaglossa; 	431 ;5.055; 	60,25 ;7,154; 	8,48   ;83,9038964272376;SI;SI;;6;;;;;;;;;;;;;;;;
CATANIA;Maletto; 	-   ;3.567; 	40,96 ;0,000; 	8,48   ;87,0898512367638;SI;SI;;6;;;;;;;;;;;;;;;;
CATANIA;Mascali; 	810 ;14.401; 	37,85 ;21,402; 	8,48   ;380,507731168817;NO;NO;;0;;;;;;;;;;;;;;;;
CATANIA;Mascalucia; 	149 ;32.103; 	16,28 ;9,153; 	8,48   ;1972,01353866567;NO;NO;;0;;;;;;;;;;;;;;;;
CATANIA;Militello in Val di Catania; 	39 ;6.747; 	62,48 ;0,624; 	8,48   ;107,993988062559;SI;SI;;6;;;;;;;;;;;;;;;;
CATANIA;Milo; 	99 ;1.023; 	16,67 ;5,938; 	8,48   ;61,3622049605614;SI;SI;;6;;;;;;;;;;;;;;;;
CATANIA;Mineo; 	15 ;4.418; 	246,32 ;0,061; 	8,48   ;17,9359308090412;SI;SI;;6;;;;;;;;;;;;;;;;
CATANIA;Mirabella Imbaccari; 	28 ;4.233; 	15,30 ;1,830; 	8,48   ;276,646777029102;SI;NO;;3;;;;;;;;;;;;;;;;
CATANIA;Misterbianco; 	279 ;48.878; 	37,68 ;7,405; 	8,48   ;1297,23159238509;SI;NO;;3;;;;;;;;;;;;;;;;
CATANIA;Motta Sant'Anastasia; 	367 ;12.072; 	35,71 ;10,278; 	8,48   ;338,085916167463;NO;NO;;0;;;;;;;;;;;;;;;;
CATANIA;Nicolosi; 	678 ;7.587; 	42,65 ;15,896; 	8,48   ;177,884795738455;NO;NO;;0;;;;;;;;;;;;;;;;
CATANIA;Palagonia; 	89 ;15.654; 	57,79 ;1,540; 	8,48   ;270,89606479078;SI;NO;;3;;;;;;;;;;;;;;;;
CATANIA;Paternò; 	148 ;44.954; 	144,68 ;1,023; 	8,48   ;310,708144183398;SI;NO;;3;;;;;;;;;;;;;;;;
CATANIA;Pedara; 	296 ;15.161; 	19,23 ;15,390; 	8,48   ;788,251870414949;NO;NO;;0;;;;;;;;;;;;;;;;
CATANIA;Piedimonte Etneo; 	71 ;3.905; 	26,54 ;2,675; 	8,48   ;147,116996628176;SI;SI;;6;;;;;;;;;;;;;;;;
CATANIA;Raddusa; 	-   ;2.783; 	23,39 ;0,000; 	8,48   ;119,000786782061;SI;SI;;6;;;;;;;;;;;;;;;;
CATANIA;Ramacca; 	41 ;10.188; 	306,44 ;0,134; 	8,48   ;33,2465728748691;SI;SI;;6;;;;;;;;;;;;;;;;
CATANIA;Randazzo; 	244 ;10.151; 	205,62 ;1,187; 	8,48   ;49,3685580986369;SI;SI;;6;;;;;;;;;;;;;;;;
CATANIA;Riposto; 	563 ;13.983; 	13,25 ;42,503; 	8,48   ;1055,63146888518;NO;NO;;0;;;;;;;;;;;;;;;;
CATANIA;San Cono; 	5 ;2.445; 	6,63 ;0,754; 	8,48   ;368,70042524957;SI;NO;;3;;;;;;;;;;;;;;;;
CATANIA;San Giovanni la Punta; 	168 ;24.022; 	10,85 ;15,487; 	8,48   ;2214,43781745776;NO;NO;;0;;;;;;;;;;;;;;;;
CATANIA;San Gregorio di Catania; 	180 ;11.483; 	5,65 ;31,863; 	8,48   ;2032,71317555009;NO;NO;;0;;;;;;;;;;;;;;;;
CATANIA;San Michele di Ganzaria; 	129 ;2.846; 	25,81 ;4,998; 	8,48   ;110,256231452856;SI;SI;;6;;;;;;;;;;;;;;;;
CATANIA;San Pietro Clarenza; 	30 ;8.349; 	6,27 ;4,783; 	8,48   ;1331,11189056471;SI;NO;;3;;;;;;;;;;;;;;;;
CATANIA;Sant'Agata li Battiati; 	17 ;9.270; 	3,12 ;5,440; 	8,48   ;2966,49492783769;SI;NO;;3;;;;;;;;;;;;;;;;
CATANIA;Sant'Alfio; 	120 ;1.520; 	25,86 ;4,640; 	8,48   ;58,7782628703127;SI;SI;;6;;;;;;;;;;;;;;;;
CATANIA;Santa Maria di Licodia; 	70 ;7.563; 	26,28 ;2,664; 	8,48   ;287,818244091791;SI;NO;;3;;;;;;;;;;;;;;;;
